Date,Open,High,Low,Close,Adj Close,Volume
2010-04-09,5550.000000,5700.000000,5550.000000,5550.000000,4715.914063,4830000
2010-04-12,5550.000000,5850.000000,5550.000000,5850.000000,4970.829590,6820000
2010-04-13,5850.000000,5900.000000,5700.000000,5700.000000,4843.373047,3168500
2010-04-14,5800.000000,5850.000000,5750.000000,5800.000000,4928.343262,4266500
2010-04-15,5800.000000,5850.000000,5700.000000,5800.000000,4928.343262,6203000
2010-04-16,5750.000000,5800.000000,5550.000000,5750.000000,4885.858887,4648500
2010-04-19,5650.000000,5700.000000,5550.000000,5650.000000,4800.886230,4667500
2010-04-20,5850.000000,5850.000000,5650.000000,5850.000000,4970.829590,16835500
2010-04-21,5750.000000,5900.000000,5750.000000,5750.000000,4885.858887,6812000
2010-04-22,5700.000000,5750.000000,5600.000000,5700.000000,4843.373047,16515500
2010-04-23,5700.000000,5700.000000,5600.000000,5700.000000,4843.373047,4312000
2010-04-26,5700.000000,5750.000000,5700.000000,5700.000000,4843.373047,3114500
2010-04-27,5700.000000,5750.000000,5600.000000,5700.000000,4843.373047,8730000
2010-04-28,5450.000000,5600.000000,5400.000000,5450.000000,4630.943359,37862000
2010-04-29,5450.000000,5600.000000,5400.000000,5450.000000,4630.943359,21194000
2010-04-30,5450.000000,5600.000000,5450.000000,5450.000000,4630.943359,44499500
2010-05-03,5500.000000,5500.000000,5400.000000,5500.000000,4673.428711,14656000
2010-05-04,5500.000000,5550.000000,5400.000000,5500.000000,4673.428711,13612000
2010-05-05,5200.000000,5400.000000,5150.000000,5200.000000,4418.515625,33160500
2010-05-06,5100.000000,5250.000000,4950.000000,5100.000000,4333.542969,33760000
2010-05-07,4925.000000,5000.000000,4825.000000,4925.000000,4184.843262,33340000
2010-05-10,5000.000000,5250.000000,5000.000000,5200.000000,4418.515625,34120500
2010-05-11,5250.000000,5300.000000,5100.000000,5150.000000,4376.029785,29817500
2010-05-12,5150.000000,5200.000000,5100.000000,5150.000000,4376.029785,9763000
2010-05-14,5250.000000,5300.000000,5150.000000,5250.000000,4461.001465,18004500
2010-05-17,5350.000000,5350.000000,5050.000000,5350.000000,4545.971680,11586000
2010-05-18,5450.000000,5550.000000,5300.000000,5450.000000,4630.943359,31125500
2010-05-19,5250.000000,5450.000000,5200.000000,5250.000000,4461.001465,16677500
2010-05-20,5200.000000,5300.000000,5050.000000,5200.000000,4418.515625,20164000
2010-05-21,5100.000000,5150.000000,4975.000000,5100.000000,4333.542969,19406500
2010-05-24,5150.000000,5350.000000,5100.000000,5150.000000,4376.029785,16209500
